GeneName,p-value
NQO1,7.482738103091098e-16
GOLM1,1.8160289752587332e-15
SAMD9L,2.2657369479162233e-15
HRNR,2.3600317107208784e-15
FERMT1,6.812118516717344e-15
CCDC8,6.042572114585865e-14
AQP1,2.4690471963717583e-13
CEP78,2.542115289913195e-13
CD99,5.063353693634818e-13
LIAT1,6.658127654071564e-13
LINC00943,7.700641095691221e-13
TIPIN,9.014590445701751e-13
MTCL2,1.086103335596342e-12
AKR1C3,1.397289736526143e-12
LINC02610,1.9631464375573935e-12
SDC1,1.9816082730207384e-12
KLF10,2.057927736858428e-12
OLFML3,3.0431582544563882e-12
EDIL3,3.9080389149031295e-12
CUEDC1,5.375671717197261e-12
SLFN12,5.460721355065158e-12
STEAP3,7.997473206187213e-12
ING3,8.200629179785718e-12
KCTD2,9.291779263526627e-12
HIF1A,1.046232749529221e-11
IGFBP5,1.4978008248349318e-11
TOP1,1.716473393779782e-11
TIMM23B,1.730687159253562e-11
ZSCAN31,1.7660914591731986e-11
CYB561A3,1.9781342990873866e-11
ANO1,2.05264102974768e-11
TMOD2,2.07442078627437e-11
SSH1,2.0756377075356186e-11
LACTB,2.559982905006532e-11
TMEM140,2.5873046386620122e-11
DHX40,2.784617050557385e-11
HOXA11,2.905644016310287e-11
APOL6,2.965397030205395e-11
EBP,3.202869959397487e-11
PICSAR,3.45632788209722e-11
LINC00165,3.4687009164493464e-11
CTSB,3.5784846009661616e-11
DYNLL2,3.862394563837348e-11
MYLIP,4.160756135947434e-11
LSS,4.3032463160856475e-11
PPP1R14C,4.518341069907382e-11
KCNK3,5.450011565950698e-11
RBPMS2,5.854409254395552e-11
TCTA,6.47843275318172e-11
OAS1,6.482206864873244e-11
