Term,m1_p,m2_q,m2_p,m3_p,m4_p,m4_q,m4_logFC,n_methods_sig,n_methods_tested,min_q_or_p
muscle system process,6.880689576415983e-11,,,,,,,1,1,6.880689576415983e-11
muscle contraction,2.2470263169298603e-10,,,,,,,1,1,2.2470263169298603e-10
striated muscle cell development,5.635413520326683e-10,,,,,,,1,1,5.635413520326683e-10
muscle cell development,2.129221984399088e-09,,,,,,,1,1,2.129221984399088e-09
Actin Binding (GO:0003779),,,,,4.69321557008217e-12,3.299330545767765e-09,0.0404152312828516,1,1,3.299330545767765e-09
myofibril assembly,6.0984919994507834e-09,,,,,,,1,1,6.0984919994507834e-09
Striated Muscle Contraction (GO:0006941),,2.217080803398643e-08,1.15472958510346e-10,,,,,1,1,2.217080803398643e-08
Regulation Of Muscle Contraction (GO:0006937),,3.377108653853389e-08,3.5178215144306136e-10,,,,,1,1,3.377108653853389e-08
Cadherin Binding (GO:0045296),,,,,1.1541987449524162e-10,4.057008588507744e-08,0.0305070413506043,1,1,4.057008588507744e-08
striated muscle contraction,8.059996200905036e-08,,,,,,,1,1,8.059996200905036e-08
